congressman_id,name,party,party_id,term
141463,ABELARDO CAMARINHA,PSB,36832,54
73764,ABELARDO LUPION,DEM,36769,54
161907,ACELINO POPÓ,PRB,36815,54
133374,ADEMIR CAMILO,PROS,36763,54
160577,ADRIAN,PMDB,36800,54
141372,AELTON FREITAS,PR,36814,54
160508,AFONSO FLORENCE,PT,36844,54
136811,AFONSO HAMM,PP**,36809,54
178835,AFONSO MOTTA,PDT,36786,54
160527,AGUINALDO RIBEIRO,PP**,36809,54
173269,AKIRA OTSUBO,PMDB,36800,54
160582,ALBERTO FILHO,PMDB,36800,54
74696,ALBERTO MOURÃO,PSDB,36835,54
160559,ALCEU MOREIRA,PMDB,36800,54
73428,ALDO REBELO,PCdoB,36779,54
160511,ALESSANDRO MOLON,PT,36844,54
73458,ALEX CANZIANI,PTB,36845,54
74829,ALEXANDRE CARDOSO,PSB,36832,54
160545,ALEXANDRE LEITE,DEM,36769,54
160579,ALEXANDRE ROSO,PSB,36832,54
74830,ALEXANDRE SANTOS,PMDB,36800,54
141374,ALEXANDRE SILVEIRA,PSD,36834,54
169712,ALEXANDRE TOLEDO,PSB,36832,54
141454,ALFREDO KAEFER,PSDB,36835,54
116663,ALFREDO SIRKIS,PSB,36832,54
74057,ALICE PORTUGAL,PCdoB,36779,54
141375,ALINE CORRÊA,PP**,36809,54
160626,ALMEIDA LIMA,PMDB,36800,54
160603,AMAURI TEIXEIRA,PT,36844,54
174861,AMIR LANDO,PMDB,36800,54
141377,ANA ARRAES,PSB,36832,54
160551,ANDERSON FERREIRA,PR,36814,54
74471,ANDRÉ DE PAULA,PSD,36834,54
161905,ANDRÉ DIAS,PSDB,36835,54
133439,ANDRÉ FIGUEIREDO,PDT,36786,54
160543,ANDRE MOURA,PSC,36833,54
141378,ANDRE VARGAS,S.PART.,36852,54
74377,ANDRÉ ZACHAROW,PMDB,36800,54
141379,ANDREIA ZITO,PSDB,36835,54
160638,ÂNGELO AGNOLIN,PDT,36786,54
141381,ANGELO VANHONI,PT,36844,54
74212,ANÍBAL GOMES,PMDB,36800,54
73937,ANSELMO DE JESUS,PT,36844,54
160539,ANTHONY GAROTINHO,PR,36814,54
123756,ANTÔNIA LÚCIA,PSC,36833,54
141387,ANTÔNIO ANDRADE,PMDB,36800,54
74213,ANTONIO BALHMANN,PROS,36763,54
160553,ANTONIO BRITO,PTB,36845,54
141383,ANTONIO BULHÕES,PRB,36815,54
74058,ANTONIO CARLOS MAGALHÃES NETO,DEM,36769,54
73584,ANTONIO CARLOS MENDES THAME,PSDB,36835,54
160530,ANTONIO IMBASSAHY,PSDB,36835,54
141390,ANTÔNIO ROBERTO,PV,36851,54
74648,ARACELY DE PAULA,PR,36814,54
74103,ARIOSTO HOLANDA,PROS,36763,54
73433,ARLINDO CHINAGLIA,PT,36844,54
74405,ARMANDO ABÍLIO,PTB,36845,54
160546,ARMANDO VERGÍLIO,SDD,36764,54
73434,ARNALDO FARIA DE SÁ,PTB,36845,54
141391,ARNALDO JARDIM,PPS,36813,54
160602,ARNALDO JORDY,PPS,36813,54
74291,ARNON BEZERRA,PTB,36845,54
74833,AROLDE DE OLIVEIRA,PSD,36834,54
160541,ARTHUR LIRA,PP**,36809,54
160600,ARTHUR OLIVEIRA MAIA,SDD,36764,54
160678,ARTUR BRUNO,PT,36844,54
74222,ASDRUBAL BENTES,PMDB,36800,54
